age race earnwke senior married union female hogwarts hhouse
86 49 Pureblood 700 Senior Single Non-Union Female Graduated Gryffindor
87 42 Pureblood 2160 Junior Single Non-Union Male Drop-Out Slytherin
88 21 Pureblood 206.8 Senior Single Non-Union Male Graduated Gryffindor
89 61 Pureblood 236.8 Senior Single Non-Union Female Graduated Gryffindor
90 56 Pureblood 1903.84 Senior Single Non-Union Male Graduated Gryffindor
91 62 Halfblood 1475 Senior Married Non-Union Male Graduated Gryffindor
92 24 Halfblood 400 Junior Single Non-Union Female Graduated Gryffindor
93 61 Halfblood 519.23 Junior Married Union Female Drop-Out Gryffindor
94 53 Halfblood 480.76 Senior Married Union Male Graduated Slytherin
95 33 Pureblood 1307.2 Senior Married Non-Union Male Graduated Ravenclaw
96 27 Pureblood 480.76 Senior Married Non-Union Male Drop-Out Ravenclaw
97 27 Pureblood 826.92 Junior Married Union Female Graduated Ravenclaw
98 46 Pureblood 1250 Senior Married Non-Union Male Graduated Ravenclaw
99 37 Pureblood 576 Senior Married Non-Union Female Graduated Ravenclaw
100 42 Pureblood 1000 Senior Single Non-Union Female Drop-Out Slytherin
101 57 Pureblood 1346.15 Senior Married Non-Union Male Drop-Out Hufflepuff
102 56 Pureblood 337 Junior Married Non-Union Female Drop-Out Hufflepuff
103 37 Muggle-Born 1346 Senior Single Non-Union Female Graduated Slytherin
104 39 Pureblood 1538.46 Senior Married Non-Union Male Drop-Out Slytherin
105 48 Pureblood 212.5 Senior Married Non-Union Female Drop-Out Slytherin
106 18 Halfblood 230.76 Senior Single Non-Union Female Graduated Gryffindor
107 26 Pureblood 300 Junior Single Non-Union Female Drop-Out Gryffindor
108 54 Pureblood 2240 Senior Married Non-Union Male Graduated Gryffindor
109 43 Pureblood 423.07 Senior Married Non-Union Male Graduated Slytherin
110 41 Pureblood 279.65 Senior Married Non-Union Female Drop-Out Slytherin
111 62 Pureblood 1980.76 Senior Married Non-Union Female Graduated Slytherin
112 26 Pureblood 1250 Junior Married Non-Union Male Graduated Gryffindor
113 27 Pureblood 603.6 Junior Married Non-Union Female Graduated Gryffindor
114 42 Pureblood 2403 Senior Married Non-Union Male Graduated Slytherin
115 44 Pureblood 1307 Senior Married Non-Union Female Graduated Slytherin
116 35 Pureblood 1346 Senior Married Non-Union Male Drop-Out Slytherin
117 36 Pureblood 461 Junior Married Non-Union Female Drop-Out Slytherin
118 34 Pureblood 1000 Senior Single Non-Union Female Graduated Gryffindor
119 42 Halfblood 250 Senior Single Non-Union Male Drop-Out Slytherin
120 49 Pureblood 2788.46 Senior Married Non-Union Male Graduated Slytherin
121 34 Muggle-Born 280 Junior Single Non-Union Male Graduated Slytherin
122 31 Halfblood 676.8 Senior Married Non-Union Male Graduated Slytherin
123 57 Pureblood 653.84 Junior Married Non-Union Female Drop-Out Ravenclaw
124 39 Pureblood 920 Senior Married Non-Union Male Drop-Out Ravenclaw
125 37 Pureblood 360 Senior Married Non-Union Female Graduated Ravenclaw
126 50 Halfblood 1753.84 Senior Single Non-Union Female Graduated Ravenclaw
127 36 Halfblood 287.5 Senior Single Non-Union Female Graduated Hufflepuff
128 33 Pureblood 1664 Senior Married Union Male Graduated Gryffindor
129 23 Pureblood 550 Junior Single Non-Union Female Graduated Gryffindor
130 48 Pureblood 668 Senior Married Non-Union Female Graduated Gryffindor
131 40 Halfblood 1153.84 Senior Married Non-Union Female Graduated Slytherin
132 40 Pureblood 2403 Senior Married Non-Union Male Graduated Slytherin
133 42 Pureblood 153 Senior Married Non-Union Female Graduated Slytherin
134 45 Pureblood 769 Senior Married Non-Union Male Drop-Out Gryffindor
135 46 Pureblood 1326.92 Senior Married Non-Union Male Graduated Ravenclaw
136 45 Pureblood 1153.84 Senior Married Non-Union Female Graduated Ravenclaw
137 45 Pureblood 182 Senior Married Non-Union Female Drop-Out Slytherin
138 36 Pureblood 350 Senior Married Non-Union Male Graduated Hufflepuff
139 40 Pureblood 694.4 Senior Single Non-Union Female Graduated Hufflepuff
140 58 Pureblood 923.07 Senior Married Non-Union Male Graduated Hufflepuff
141 48 Pureblood 980.76 Senior Married Non-Union Male Graduated Slytherin
142 40 Pureblood 1673.07 Senior Married Non-Union Female Graduated Slytherin
143 51 Pureblood 2538 Senior Married Non-Union Male Drop-Out Ravenclaw
144 47 Pureblood 360 Junior Married Non-Union Female Graduated Ravenclaw
145 22 Halfblood 384.61 Senior Single Non-Union Female Graduated Slytherin
146 49 Halfblood 961.53 Senior Single Non-Union Female Graduated Slytherin
147 29 Pureblood 480 Junior Married Non-Union Male Graduated Ravenclaw
148 25 Pureblood 390 Senior Married Non-Union Female Graduated Ravenclaw
149 51 Pureblood 680 Senior Married Non-Union Male Drop-Out Gryffindor
150 51 Pureblood 992 Senior Married Non-Union Female Graduated Gryffindor
151 47 Pureblood 557.69 Senior Single Non-Union Female Drop-Out Gryffindor
152 31 Pureblood 923.07 Senior Single Non-Union Male Graduated Slytherin
153 30 Pureblood 307.69 Senior Married Non-Union Female Drop-Out Ravenclaw
154 30 Pureblood 700 Senior Single Non-Union Male Graduated Slytherin
155 37 Pureblood 1250 Senior Married Non-Union Male Graduated Slytherin
156 36 Pureblood 807 Senior Married Non-Union Female Graduated Slytherin
157 43 Pureblood 576.92 Senior Single Non-Union Female Drop-Out Hufflepuff
158 53 Pureblood 200.4 Senior Married Non-Union Female Graduated Slytherin
159 30 Pureblood 760 Senior Married Union Male Drop-Out Slytherin
160 34 Pureblood 452 Junior Married Non-Union Female Drop-Out Slytherin
161 56 Pureblood 461.53 Senior Single Non-Union Female Graduated Hufflepuff
162 46 Pureblood 860 Junior Married Non-Union Male Graduated Ravenclaw
163 58 Pureblood 416.4 Senior Married Non-Union Female Graduated Hufflepuff
164 25 Pureblood 673 Senior Single Non-Union Female Graduated Ravenclaw
165 40 Pureblood 1480 Senior Single Non-Union Male Graduated Hufflepuff
166 38 Pureblood 360 Senior Single Non-Union Female Graduated Hufflepuff
167 42 Pureblood 480.76 Senior Single Non-Union Female Drop-Out Ravenclaw
168 31 Pureblood 2115.38 Senior Single Non-Union Male Graduated Slytherin
169 27 Pureblood 800 Senior Single Non-Union Female Graduated Slytherin
170 46 Pureblood 1400 Senior Married Non-Union Male Graduated Ravenclaw
171 42 Pureblood 250 Senior Married Non-Union Female Graduated Ravenclaw
172 37 Pureblood 1514 Senior Single Union Male Graduated Hufflepuff
173 38 Pureblood 1038.46 Senior Married Union Male Graduated Ravenclaw
174 57 Halfblood 440 Senior Single Union Female Drop-Out Slytherin
175 36 Pureblood 1100 Senior Single Non-Union Male Graduated Slytherin
176 31 Pureblood 923.07 Senior Single Non-Union Female Graduated Slytherin
177 43 Muggle-Born 1380 Junior Married Union Male Drop-Out Ravenclaw
178 32 Muggle-Born 1923.07 Senior Single Non-Union Male Graduated Gryffindor
179 50 Pureblood 2153.84 Senior Single Non-Union Male Graduated Slytherin
180 48 Pureblood 538.46 Senior Single Non-Union Female Drop-Out Slytherin
181 28 Pureblood 240 Senior Married Non-Union Female Drop-Out Ravenclaw
182 48 Muggle-Born 0 Senior Married Non-Union Female Graduated Slytherin
183 39 Pureblood 440 Senior Married Non-Union Male Drop-Out Slytherin
184 40 Pureblood 480.8 Junior Married Non-Union Female Drop-Out Slytherin
185 41 Pureblood 184.61 Senior Married Non-Union Female Drop-Out Ravenclaw
186 26 Pureblood 1346.15 Senior Married Non-Union Male Drop-Out Ravenclaw
187 27 Pureblood 513.05 Senior Single Non-Union Female Graduated Hufflepuff
188 50 Pureblood 807.69 Senior Single Non-Union Female Graduated Gryffindor
189 42 Pureblood 1012 Senior Married Non-Union Male Graduated Gryffindor
190 30 Pureblood 936.15 Senior Married Union Male Graduated Hufflepuff
191 27 Pureblood 640 Senior Married Non-Union Female Graduated Hufflepuff
192 35 Pureblood 2403.84 Senior Married Non-Union Male Graduated Slytherin
193 55 Pureblood 2578 Senior Married Non-Union Male Graduated Slytherin
194 37 Pureblood 398 Senior Married Non-Union Female Drop-Out Slytherin
195 47 Pureblood 761.53 Senior Single Non-Union Female Graduated Hufflepuff
196 42 Pureblood 800 Senior Single Non-Union Male Graduated Hufflepuff
197 35 Muggle-Born 640 Senior Married Non-Union Male Graduated Slytherin
198 51 Pureblood 1538.46 Senior Married Non-Union Female Graduated Slytherin
199 31 Pureblood 920 Senior Married Union Male Drop-Out Gryffindor
200 31 Pureblood 606 Senior Married Non-Union Female Drop-Out Gryffindor
201 48 Pureblood 693 Senior Married Non-Union Male Drop-Out Ravenclaw
202 50 Pureblood 715.38 Senior Married Non-Union Female Graduated Ravenclaw
203 35 Pureblood 895 Junior Married Non-Union Male Drop-Out Slytherin
204 46 Pureblood 776 Junior Married Union Male Drop-Out Hufflepuff
205 46 Pureblood 384 Senior Married Non-Union Female Drop-Out Hufflepuff
206 35 Pureblood 2884.61 Senior Married Non-Union Male Graduated Gryffindor
207 36 Pureblood 310 Senior Married Non-Union Female Graduated Gryffindor
208 54 Muggle-Born 1050 Junior Married Union Female Graduated Slytherin
209 54 Pureblood 884 Senior Single Non-Union Male Drop-Out Ravenclaw
210 25 Pureblood 400 Senior Single Union Female Graduated Ravenclaw
211 56 Pureblood 787.6 Senior Single Non-Union Female Graduated Ravenclaw
212 24 Pureblood 510 Senior Single Non-Union Male Graduated Gryffindor
213 43 Pureblood 1086.4 Senior Married Non-Union Male Drop-Out Ravenclaw
214 42 Pureblood 268.4 Senior Married Non-Union Female Drop-Out Ravenclaw
215 21 Pureblood 400 Senior Married Non-Union Male Graduated Gryffindor
216 40 Pureblood 1000 Senior Married Non-Union Female Graduated Slytherin
217 35 Pureblood 500 Junior Single Non-Union Male Graduated Hufflepuff
218 22 Pureblood 340 Junior Single Non-Union Female Drop-Out Hufflepuff
219 47 Pureblood 423 Senior Married Non-Union Female Graduated Gryffindor
220 55 Pureblood 1173.07 Senior Married Non-Union Male Drop-Out Slytherin
221 52 Pureblood 1000 Senior Married Union Female Graduated Slytherin
222 40 Pureblood 942.3 Senior Married Union Male Graduated Ravenclaw
223 32 Pureblood 207.25 Junior Married Non-Union Female Drop-Out Ravenclaw
224 62 Pureblood 673.07 Senior Married Non-Union Male Graduated Ravenclaw
225 28 Pureblood 240 Senior Single Non-Union Female Drop-Out Slytherin
226 34 Pureblood 1538.46 Senior Married Non-Union Male Graduated Slytherin
227 39 Pureblood 400 Senior Single Non-Union Male Drop-Out Slytherin
228 43 Pureblood 1115.38 Senior Single Union Male Graduated Hufflepuff
229 41 Pureblood 2884.61 Senior Single Non-Union Female Graduated Hufflepuff
230 62 Pureblood 740 Senior Single Non-Union Female Graduated Slytherin
231 47 Pureblood 700 Senior Married Non-Union Male Graduated Slytherin
232 47 Pureblood 400 Senior Married Non-Union Female Graduated Slytherin
233 26 Pureblood 600 Senior Married Non-Union Male Graduated Hufflepuff
234 52 Pureblood 1634 Senior Married Non-Union Male Graduated Hufflepuff
235 32 Muggle-Born 420 Senior Married Non-Union Male Graduated Ravenclaw
236 29 Muggle-Born 135 Junior Married Non-Union Female Graduated Ravenclaw
237 61 Pureblood 1134.61 Senior Single Union Female Graduated Slytherin
238 49 Pureblood 2884.61 Senior Married Non-Union Male Graduated Gryffindor
239 59 Pureblood 769.23 Senior Married Non-Union Female Graduated Gryffindor
240 37 Pureblood 1200 Senior Married Non-Union Male Drop-Out Gryffindor
241 52 Pureblood 600 Senior Married Non-Union Male Drop-Out Gryffindor
242 56 Pureblood 1980.76 Senior Single Non-Union Female Graduated Gryffindor
243 30 Pureblood 900 Senior Married Non-Union Male Graduated Slytherin
244 30 Pureblood 1075 Senior Married Non-Union Female Graduated Slytherin
245 52 Halfblood 846.15 Senior Married Non-Union Female Graduated Slytherin
246 22 Pureblood 210 Junior Married Non-Union Male Graduated Ravenclaw
247 26 Muggle-Born 720 Senior Single Non-Union Male Graduated Ravenclaw
248 53 Muggle-Born 700 Senior Married Union Female Graduated Ravenclaw
249 40 Muggle-Born 700 Senior Married Non-Union Female Graduated Ravenclaw
250 56 Pureblood 960 Senior Single Union Female Drop-Out Ravenclaw
251 30 Muggle-Born 1538 Senior Single Non-Union Male Graduated Ravenclaw
252 32 Pureblood 375 Junior Single Non-Union Female Graduated Gryffindor
253 44 Muggle-Born 1153 Senior Single Non-Union Female Graduated Hufflepuff
254 47 Pureblood 1346.15 Senior Married Union Male Graduated Gryffindor
255 39 Pureblood 800 Senior Married Non-Union Female Graduated Gryffindor
256 51 Halfblood 467.2 Senior Single Non-Union Female Graduated Slytherin
257 35 Pureblood 1450 Senior Single Union Male Graduated Gryffindor
258 53 Pureblood 646.56 Senior Married Non-Union Male Graduated Gryffindor
259 46 Pureblood 1730 Junior Single Non-Union Female Graduated Slytherin
260 35 Pureblood 600 Senior Single Non-Union Female Graduated Slytherin
261 43 Pureblood 769 Senior Married Non-Union Female Graduated Hufflepuff
262 30 Pureblood 800 Senior Single Non-Union Female Graduated Slytherin
263 51 Pureblood 1384.61 Senior Single Non-Union Male Drop-Out Ravenclaw
264 50 Pureblood 673.07 Senior Single Union Female Drop-Out Ravenclaw
265 37 Pureblood 1346.15 Senior Married Non-Union Male Graduated Hufflepuff
266 35 Pureblood 165 Senior Married Non-Union Female Graduated Hufflepuff
267 26 Pureblood 1292.3 Senior Married Non-Union Male Graduated Slytherin
268 44 Pureblood 1263 Senior Married Non-Union Male Graduated Slytherin
269 52 Pureblood 720 Senior Married Non-Union Male Graduated Ravenclaw
270 40 Muggle-Born 1000 Senior Married Non-Union Female Graduated Ravenclaw
271 53 Pureblood 900 Senior Married Union Male Drop-Out Hufflepuff
272 53 Pureblood 538.46 Senior Married Non-Union Female Drop-Out Hufflepuff
273 32 Pureblood 227 Senior Married Non-Union Male Graduated Hufflepuff
274 29 Pureblood 701.92 Senior Married Union Female Graduated Hufflepuff
275 49 Muggle-Born 1938.52 Senior Married Union Female Graduated Ravenclaw
276 45 Pureblood 1653 Senior Married Non-Union Male Drop-Out Slytherin
277 60 Pureblood 1923.07 Senior Single Union Female Graduated Gryffindor
278 31 Pureblood 961.53 Senior Single Non-Union Male Graduated Slytherin
279 44 Pureblood 400 Senior Single Union Male Graduated Ravenclaw
280 52 Pureblood 1000 Senior Single Union Male Graduated Ravenclaw
281 28 Muggle-Born 375 Senior Single Non-Union Male Graduated Slytherin
282 49 Pureblood 800 Senior Single Non-Union Male Graduated Ravenclaw
283 39 Pureblood 860 Senior Single Non-Union Female Drop-Out Ravenclaw
284 23 Muggle-Born 423 Junior Single Non-Union Male Graduated Ravenclaw
285 50 Pureblood 390 Senior Married Non-Union Female Graduated Ravenclaw
286 32 Muggle-Born 1923.07 Senior Married Non-Union Male Graduated Gryffindor
287 29 Muggle-Born 865.38 Senior Married Non-Union Female Graduated Gryffindor
288 32 Pureblood 923.07 Senior Married Union Male Graduated Slytherin
289 56 Pureblood 1300 Senior Married Non-Union Male Graduated Ravenclaw
290 48 Pureblood 764 Senior Married Non-Union Female Graduated Ravenclaw
291 41 Pureblood 942 Senior Married Union Female Drop-Out Gryffindor
292 28 Pureblood 1153.84 Senior Single Non-Union Male Graduated Gryffindor
293 22 Pureblood 237.5 Senior Married Non-Union Female Drop-Out Gryffindor
294 55 Pureblood 1252.4 Senior Single Non-Union Male Drop-Out Gryffindor
295 37 Pureblood 1153.84 Senior Married Union Male Graduated Gryffindor
296 36 Pureblood 140 Senior Married Non-Union Female Graduated Gryffindor
297 45 Pureblood 1730.76 Senior Married Non-Union Male Graduated Gryffindor
298 46 Pureblood 816 Senior Married Non-Union Female Graduated Gryffindor
299 40 Pureblood 1153.84 Senior Single Union Female Graduated Hufflepuff
300 37 Pureblood 881 Junior Married Non-Union Male Graduated Slytherin
301 61 Pureblood 2884.61 Senior Married Non-Union Male Graduated Hufflepuff
302 22 Pureblood 480 Senior Single Non-Union Male Drop-Out Hufflepuff
303 44 Pureblood 1440 Junior Married Union Male Graduated Hufflepuff
304 43 Pureblood 288.75 Senior Married Non-Union Female Graduated Hufflepuff
305 59 Pureblood 1153.84 Senior Married Non-Union Male Graduated Slytherin
306 59 Pureblood 807.69 Senior Married Non-Union Female Graduated Slytherin
307 53 Pureblood 384.61 Senior Married Non-Union Female Graduated Slytherin
308 50 Pureblood 1923.07 Senior Married Non-Union Female Graduated Ravenclaw
309 54 Pureblood 2307 Senior Married Non-Union Male Graduated Hufflepuff
310 20 Halfblood 400 Senior Single Non-Union Female Drop-Out Slytherin
311 18 Halfblood 151 Junior Single Non-Union Male Graduated Slytherin
312 49 Halfblood 575 Senior Single Non-Union Female Graduated Slytherin
313 20 Pureblood 230.76 Junior Single Non-Union Female Drop-Out Ravenclaw
314 38 Pureblood 1428 Senior Married Non-Union Male Graduated Hufflepuff
315 59 Pureblood 512 Senior Married Non-Union Female Graduated Hufflepuff
316 55 Muggle-Born 1620 Senior Single Union Female Graduated Ravenclaw
317 31 Pureblood 1692.3 Senior Married Non-Union Male Graduated Ravenclaw
318 48 Pureblood 400 Senior Married Non-Union Male Graduated Hufflepuff
319 44 Pureblood 200 Senior Married Non-Union Female Graduated Hufflepuff
320 37 Pureblood 202 Senior Single Non-Union Female Drop-Out Hufflepuff
321 41 Pureblood 1300 Senior Married Union Male Graduated Gryffindor
322 18 Pureblood 131 Junior Single Non-Union Female Graduated Gryffindor
323 39 Pureblood 105 Senior Married Non-Union Female Graduated Gryffindor
324 37 Pureblood 1250 Senior Married Non-Union Male Graduated Hufflepuff
325 39 Pureblood 360 Senior Married Non-Union Female Graduated Hufflepuff
326 26 Pureblood 384.61 Senior Single Non-Union Male Drop-Out Ravenclaw
327 45 Pureblood 800 Senior Married Union Male Graduated Gryffindor
328 35 Pureblood 392.5 Senior Married Non-Union Female Graduated Gryffindor
329 48 Pureblood 730 Senior Married Non-Union Male Drop-Out Hufflepuff
330 43 Pureblood 1453 Senior Married Union Female Graduated Ravenclaw
331 18 Pureblood 135 Senior Single Non-Union Female Graduated Ravenclaw
332 21 Pureblood 600 Senior Single Non-Union Female Graduated Hufflepuff
333 30 Pureblood 236 Junior Married Non-Union Male Graduated Ravenclaw
334 28 Pureblood 1153.84 Senior Married Non-Union Female Graduated Ravenclaw
335 49 Pureblood 1923.07 Senior Single Non-Union Female Graduated Gryffindor
336 60 Pureblood 2884.61 Junior Married Non-Union Male Graduated Slytherin
337 44 Pureblood 1442.3 Senior Married Non-Union Male Graduated Ravenclaw
338 38 Pureblood 673.07 Senior Married Non-Union Female Graduated Ravenclaw
339 58 Pureblood 230 Senior Married Non-Union Female Drop-Out Slytherin
340 48 Halfblood 769 Senior Married Non-Union Male Drop-Out Slytherin
341 42 Halfblood 458 Senior Married Non-Union Female Drop-Out Slytherin
342 59 Pureblood 720 Senior Married Non-Union Male Graduated Hufflepuff
343 30 Pureblood 250 Junior Married Non-Union Female Graduated Slytherin
344 47 Pureblood 1250 Senior Married Non-Union Male Drop-Out Gryffindor
345 41 Pureblood 576.92 Senior Married Non-Union Female Graduated Gryffindor
346 52 Pureblood 2230.76 Senior Married Non-Union Male Graduated Gryffindor
347 53 Pureblood 576.92 Senior Married Non-Union Female Graduated Gryffindor
348 23 Pureblood 557.69 Senior Single Non-Union Female Graduated Slytherin
349 33 Pureblood 1000 Senior Married Non-Union Female Graduated Slytherin
350 41 Pureblood 1627.9 Junior Married Union Male Graduated Gryffindor
351 46 Pureblood 1346.15 Junior Married Union Female Graduated Gryffindor
352 38 Pureblood 640 Senior Married Non-Union Female Drop-Out Gryffindor
353 30 Pureblood 2884.61 Senior Single Non-Union Male Graduated Ravenclaw
354 53 Pureblood 380 Senior Single Non-Union Female Graduated Ravenclaw
355 31 Muggle-Born 875 Senior Married Non-Union Male Graduated Slytherin
356 34 Muggle-Born 1523.07 Senior Married Non-Union Female Graduated Slytherin
357 51 Pureblood 769.23 Senior Married Union Female Graduated Gryffindor
358 43 Pureblood 576.92 Senior Married Non-Union Male Drop-Out Slytherin
359 40 Pureblood 480.76 Senior Married Non-Union Female Drop-Out Slytherin
360 36 Pureblood 884.61 Senior Married Non-Union Male Graduated Hufflepuff
361 33 Pureblood 903.84 Senior Married Non-Union Female Graduated Hufflepuff
362 35 Pureblood 1365.38 Senior Single Non-Union Female Graduated Slytherin
363 38 Pureblood 646.15 Senior Single Non-Union Male Graduated Ravenclaw
364 38 Halfblood 580 Senior Single Non-Union Male Graduated Ravenclaw
365 53 Halfblood 400 Senior Single Non-Union Female Drop-Out Slytherin
366 49 Muggle-Born 923.07 Senior Married Non-Union Male Graduated Slytherin
367 61 Pureblood 2307.69 Senior Married Non-Union Male Graduated Slytherin
368 34 Pureblood 500 Junior Married Non-Union Female Graduated Slytherin
369 60 Pureblood 400 Senior Married Non-Union Female Drop-Out Slytherin
370 47 Pureblood 1250 Senior Married Non-Union Male Drop-Out Gryffindor
371 48 Pureblood 190 Senior Married Non-Union Female Graduated Gryffindor
372 55 Pureblood 800 Senior Married Non-Union Female Graduated Slytherin
373 26 Pureblood 961.53 Senior Married Non-Union Male Graduated Slytherin
374 24 Pureblood 1250 Senior Married Union Female Graduated Slytherin
375 60 Pureblood 640.35 Senior Married Non-Union Male Graduated Ravenclaw
376 46 Pureblood 314 Senior Married Union Male Graduated Gryffindor
377 39 Pureblood 1153.84 Senior Married Non-Union Male Drop-Out Slytherin
378 41 Pureblood 884 Junior Single Non-Union Male Graduated Ravenclaw
379 47 Pureblood 1000 Senior Single Non-Union Female Graduated Slytherin
380 62 Pureblood 1519 Senior Married Non-Union Female Graduated Gryffindor
381 61 Pureblood 720 Senior Married Non-Union Female Drop-Out Hufflepuff
