palmitic palmitoleic stearic oleic linoleic eicosanoic linolenic eicosenoic
1.273 0.182 0.209 6.965 1.191 0.0737 0.074 0.01
1.351 0.179 0.17 7.034 1.154 0.0331 0.066 0.0027
1.336 0.155 0.212 7.103 1.086 0.0271 0.055 0.0074
1.499 0.201 0.182 6.803 1.204 0.0201 0.056 0.011
1.425 0.198 0.193 7.032 1.041 0.0222 0.052 0.0055
1.358 0.204 0.227 6.962 1.109 0.0603 0.065 0.03
1.346 0.181 0.257 7.147 0.933 0.0546 0.06 0.0366
1.392 0.186 0.256 6.732 1.278 0.2003 0.064 0.0182
1.311 0.166 0.222 7.006 1.147 0.0603 0.08 0.0149
1.314 0.171 0.229 6.923 1.198 0.1099 0.076 0.0667
1.409 0.2 0.207 6.842 1.224 0.0222 0.06 0.0149
1.342 0.174 0.221 6.993 1.147 0.0366 0.064 0.01
1.387 0.182 0.206 7.1 1.02 0.03 0.054 0.0055
1.413 0.202 0.205 6.92 1.165 0.0366 0.046 0.0037
1.43 0.209 0.225 6.8 1.2 0.0245 0.059 0.0149
1.336 0.185 0.223 6.956 1.155 0.2704 0.073 0.005
1.372 0.2 0.2 6.916 1.189 0.0271 0.05 0.009
1.33 0.157 0.228 7.055 1.108 0.0667 0.055 0.0122
1.412 0.207 0.208 6.822 1.239 0.0366 0.051 0.0164
1.321 0.209 0.217 6.948 1.178 0.0667 0.062 0.01
1.401 0.2 0.217 6.98 1.073 0.0546 0.068 0.0082
1.401 0.214 0.217 6.734 1.293 0.0815 0.069 0.0149
1.457 0.168 0.242 6.724 1.266 0.2214 0.059 0.0201
1.451 0.199 0.221 6.835 1.177 0.0404 0.051 0.0182
1.438 0.206 0.248 6.806 1.183 0.03 0.057 0.0164
1.462 0.204 0.237 6.644 1.309 0.0667 0.054 0.0164
1.529 0.215 0.203 6.602 1.31 0.09 0.069 0.0149
1.51 0.189 0.245 6.752 1.188 0.0366 0.052 0.0164
1.437 0.222 0.184 6.803 1.24 0.0737 0.056 0.005
1.327 0.129 0.247 7.024 1.157 0.0447 0.056 0.009
1.438 0.172 0.252 6.63 1.38 0.0546 0.064 0.011
1.447 0.176 0.189 6.849 1.18 0.0667 0.064 0.0135
1.355 0.144 0.214 6.972 1.198 0.0271 0.06 0.011
1.369 0.156 0.241 6.89 1.209 0.0667 0.063 0.0201
1.471 0.188 0.276 6.697 1.269 0.03 0.051 0.005
1.456 0.179 0.24 6.738 1.267 0.0603 0.065 0.0041
1.314 0.14 0.207 7.02 1.22 0.0164 0.059 0.0033
1.408 0.176 0.192 6.909 1.195 0.09 0.05 0.0122
1.397 0.172 0.191 7.107 1.018 0.0366 0.05 0.0182
1.413 0.191 0.186 6.937 1.18 0.0222 0.046 0.0037
1.539 0.194 0.213 6.764 1.178 0.0447 0.058 0.005
1.304 0.159 0.234 7.019 1.174 0.0447 0.053 0.0067
1.341 0.16 0.231 7.033 1.069 0.0546 0.067 0.0271
1.508 0.208 0.249 6.641 1.311 0.0122 0.043 0.0074
1.515 0.226 0.257 6.595 1.287 0.0603 0.063 0.005
1.262 0.165 0.235 7.12 1.113 0.0245 0.051 0.0082
1.307 0.197 0.238 7.003 1.144 0.0404 0.05 0.011
1.294 0.159 0.253 7.009 1.19 0.0201 0.052 0.0037
1.46 0.187 0.215 6.843 1.172 0.0331 0.056 0.0245
1.476 0.187 0.203 6.837 1.197 0.0366 0.048 0.009
1.482 0.178 0.197 6.814 1.201 0.0546 0.064 0.011
1.388 0.176 0.185 7.008 1.111 0.1215 0.053 0.0222
1.367 0.172 0.235 7.066 1.054 0.0331 0.045 0.0135
1.272 0.207 0.205 7.152 1.098 0.0404 0.052 0.009
1.323 0.157 0.234 7.132 1.022 0.0447 0.058 0.0222
1.206 0.218 0.242 7.193 1.002 0.0404 0.054 0.0122
1.383 0.157 0.217 7.018 1.09 0.0546 0.06 0.0404
1.521 0.19 0.238 6.956 0.986 0.0366 0.05 0.01
1.35 0.168 0.227 6.986 1.165 0.0182 0.058 0.0055
1.422 0.181 0.218 6.813 1.23 0.0201 0.059 0.0082
1.298 0.166 0.224 6.986 1.162 0.03 0.065 0.0222
1.447 0.236 0.245 6.607 1.336 0.0271 0.051 0.0082
1.347 0.197 0.211 6.795 1.3 0.0245 0.059 0.03
1.339 0.17 0.253 6.989 1.11 0.0182 0.063 0.01
1.388 0.183 0.216 6.867 1.208 0.0164 0.061 0.0082
1.527 0.26 0.232 6.488 1.37 0.0222 0.045 0.0074
1.495 0.237 0.236 6.571 1.318 0.0245 0.058 0.0135
1.487 0.246 0.251 6.504 1.39 0.0182 0.053 0.0067
1.399 0.18 0.232 6.855 1.19 0.0245 0.066 0.009
1.489 0.215 0.242 6.777 1.145 0.0201 0.06 0.009
1.339 0.166 0.226 6.928 1.198 0.0201 0.06 0.01
1.482 0.246 0.238 6.444 1.462 0.0149 0.05 0.0074
1.434 0.172 0.255 6.646 1.354 0.0149 0.059 0.0122
1.347 0.156 0.214 6.85 1.313 0.0122 0.048 0.0067
1.34 0.158 0.233 6.848 1.272 0.0245 0.063 0.0122
1.453 0.18 0.244 6.752 1.238 0.03 0.054 0.01
1.306 0.149 0.226 7.082 1.097 0.0271 0.061 0.011
1.349 0.161 0.217 6.997 1.138 0.0222 0.062 0.01
1.254 0.151 0.205 7.319 0.947 0.0164 0.054 0.01
1.168 0.144 0.22 7.23 1.109 0.0222 0.052 0.0164
1.346 0.167 0.224 6.959 1.111 0.0201 0.049 0.01
1.39 0.184 0.212 6.898 1.189 0.0182 0.044 0.0067
1.283 0.149 0.224 7.077 1.104 0.0201 0.057 0.0245
1.214 0.137 0.232 7.269 1.005 0.0245 0.055 0.01
1.491 0.227 0.205 6.941 0.988 0.0271 0.068 0.03
1.479 0.218 0.207 7.039 0.887 0.0366 0.065 0.0366
1.445 0.174 0.228 6.875 1.123 0.0182 0.069 0.0222
1.439 0.183 0.218 6.775 1.226 0.0245 0.066 0.0182
1.387 0.154 0.204 6.991 1.09 0.03 0.074 0.0245
1.426 0.169 0.192 7.025 1.043 0.0222 0.064 0.0149
1.451 0.2 0.208 6.98 1.006 0.0201 0.062 0.0222
1.493 0.204 0.188 6.913 1.044 0.0245 0.061 0.0331
1.419 0.192 0.207 6.996 1.014 0.0366 0.07 0.0366
1.342 0.177 0.199 7.172 0.952 0.03 0.065 0.0271
1.349 0.152 0.236 7.145 0.949 0.0331 0.075 0.0182
1.44 0.196 0.208 6.938 1.07 0.0245 0.061 0.0135
1.46 0.215 0.197 6.918 1.081 0.0164 0.055 0.01
1.249 0.133 0.205 7.417 0.827 0.0271 0.072 0.0271
1.348 0.159 0.238 7.017 1.081 0.0222 0.067 0.0122
1.341 0.155 0.244 6.958 1.144 0.0245 0.068 0.0135
1.398 0.149 0.204 7.182 0.907 0.0182 0.076 0.0201
1.454 0.2 0.199 6.91 1.09 0.0201 0.062 0.0122
1.334 0.153 0.219 6.928 1.214 0.0271 0.066 0.011
1.438 0.204 0.189 7.107 0.91 0.0271 0.063 0.0149
1.303 0.138 0.212 7.17 1.016 0.03 0.069 0.0122
1.323 0.147 0.21 7.108 1.07 0.0271 0.061 0.0074
1.417 0.169 0.207 6.875 1.184 0.03 0.057 0.0149
1.36 0.167 0.225 6.883 1.22 0.0222 0.055 0.0149
1.42 0.179 0.214 6.923 1.121 0.0271 0.056 0.0149
1.472 0.218 0.214 6.724 1.238 0.0182 0.053 0.01
1.368 0.174 0.205 7.042 1.066 0.0222 0.057 0.0135
1.367 0.173 0.228 6.948 1.141 0.0245 0.053 0.011
1.403 0.173 0.209 6.843 1.21 0.0271 0.063 0.0271
1.413 0.197 0.206 6.737 1.387 0.03 0.06 0.0222
1.201 0.138 0.207 7.011 1.269 0.0404 0.064 0.0331
1.359 0.18 0.207 6.895 1.203 0.0271 0.061 0.0201
1.518 0.198 0.225 6.681 1.243 0.0182 0.057 0.011
1.434 0.185 0.189 6.771 1.269 0.0201 0.062 0.0122
1.367 0.162 0.179 6.772 1.368 0.0271 0.064 0.0149
1.461 0.181 0.197 6.783 1.246 0.0135 0.057 0.01
1.368 0.161 0.198 7.03 1.095 0.0271 0.059 0.0222
1.419 0.159 0.215 6.862 1.193 0.0331 0.06 0.0222
1.514 0.162 0.298 6.725 1.119 0.09 0.093 0.0201
1.328 0.171 0.253 6.987 1.03 0.0447 0.083 0.0494
1.469 0.16 0.337 6.675 1.127 0.0815 0.094 0.0366
1.283 0.153 0.196 7.107 1.115 0.0404 0.06 0.0164
1.263 0.155 0.199 7.14 1.148 0.0222 0.042 0.006
1.369 0.158 0.215 7.16 0.958 0.0447 0.069 0.0245
1.353 0.172 0.175 6.965 1.212 0.0164 0.075 0.0067
1.187 0.139 0.185 7.427 0.952 0.0182 0.056 0.009
1.732 0.231 0.156 6.437 1.313 0.09 0.062 0.01
1.62 0.255 0.166 6.628 1.212 0.0182 0.062 0.0149
1.543 0.172 0.193 6.74 1.157 0.1813 0.087 0.03
1.498 0.17 0.195 6.804 1.206 0.0331 0.066 0.01
1.399 0.169 0.171 7.011 1.1 0.0366 0.072 0.005
1.293 0.156 0.191 7.101 1.111 0.0245 0.06 0.0222
1.42 0.175 0.152 7.004 1.149 0.0149 0.05 0.0074
1.721 0.238 0.255 6.3 1.35 0.0331 0.07 0.0164
1.742 0.221 0.156 6.415 1.315 0.0737 0.082 0.01
1.391 0.187 0.189 6.975 1.062 0.1813 0.07 0.09
1.517 0.206 0.249 6.68 1.205 0.0271 0.08 0.0149
1.269 0.157 0.193 7.14 1.148 0.0222 0.04 0.006
1.577 0.204 0.208 6.732 1.183 0.0074 0.052 0.0074
1.59 0.241 0.195 6.705 1.149 0.0149 0.068 0.0082
1.621 0.28 0.197 6.608 1.179 0.0164 0.058 0.0149
1.753 0.275 0.236 6.367 1.214 0.01 0.061 0.0149
1.679 0.26 0.177 6.568 1.191 0.0201 0.059 0.0271
1.419 0.203 0.176 6.973 1.083 0.0447 0.078 0.0149
1.693 0.236 0.174 6.499 1.204 0.164 0.102 0.0404
1.692 0.27 0.234 6.499 1.196 0.0222 0.059 0.0045
1.638 0.252 0.215 6.57 1.199 0.0494 0.053 0.0182
1.497 0.247 0.219 6.621 1.27 0.0366 0.073 0.0245
1.442 0.222 0.194 6.677 1.314 0.0366 0.072 0.0447
1.68 0.27 0.17 6.44 1.31 0.0222 0.062 0.0164
1.463 0.164 0.185 6.909 1.154 0.1343 0.058 0.0055
